age_cat,stab,variable,value
35,SC,male,151868
35,SD,male,31496
35,TN,male,209134
35,TX,male,991571
35,UT,male,112184
35,VA,male,290114
35,VT,male,18011
35,WA,male,266781
35,WI,male,177667
35,WV,male,54280
35,WY,male,21348
40,AK,male,23862
40,AL,male,143906
40,AR,male,87892
40,AZ,male,217714
40,CA,male,1314150
40,CO,male,193412
40,CT,male,106379
40,DC,male,22728
40,DE,male,28414
40,FL,male,590986
40,GA,male,338147
40,HI,male,45516
40,IA,male,94348
40,ID,male,51349
40,IL,male,418587
40,IN,male,199909
40,KS,male,92069
40,KY,male,134439
40,LA,male,147612
40,MA,male,198575
40,MD,male,187540
40,ME,male,34674
40,MI,male,281946
40,MN,male,176071
40,MO,male,179885
40,MS,male,93832
40,MT,male,33467
40,NC,male,306105
40,ND,male,21554
40,NE,male,55508
40,NH,male,36204
40,NJ,male,285214
40,NM,male,68209
40,NV,male,96918
40,NY,male,611309
40,OH,male,339482
40,OK,male,122797
40,OR,male,142843
40,PA,male,362047
40,RI,male,32271
40,SC,male,140797
40,SD,male,23856
40,TN,male,194459
40,TX,male,938798
40,UT,male,107107
40,VA,male,269647
40,VT,male,19239
40,WA,male,244491
40,WI,male,176341
40,WV,male,58155
40,WY,male,18778
45,AK,male,19952
45,AL,male,153143
45,AR,male,89152
45,AZ,male,208331
45,CA,male,1298792
45,CO,male,183909
45,CT,male,109941
45,DC,male,23845
45,DE,male,25599
45,FL,male,629640
45,GA,male,332754
45,HI,male,44628
45,IA,male,95511
45,ID,male,53515
45,IL,male,416011
45,IN,male,217147
45,KS,male,85575
45,KY,male,149022
45,LA,male,133217
45,MA,male,214213
45,MD,male,182797
45,ME,male,42747
45,MI,male,302725
45,MN,male,163202
45,MO,male,188189
45,MS,male,90144
45,MT,male,27574
45,NC,male,337032
45,ND,male,22486
45,NE,male,59690
45,NH,male,45133
45,NJ,male,294500
45,NM,male,58615
45,NV,male,101992
45,NY,male,625118
45,OH,male,358400
45,OK,male,121391
45,OR,male,124222
45,PA,male,395919
45,RI,male,29820
45,SC,male,148206
45,SD,male,26237
45,TN,male,225785
45,TX,male,916324
45,UT,male,91799
45,VA,male,283194
45,VT,male,16133
45,WA,male,224271
45,WI,male,183564
45,WV,male,62350
45,WY,male,16868
50,AK,male,21791
50,AL,male,150256
50,AR,male,97349
50,AZ,male,208808
50,CA,male,1306301
50,CO,male,163208
50,CT,male,128001
50,DC,male,18345
50,DE,male,28637
50,FL,male,661647
50,GA,male,342984
50,HI,male,42923
50,IA,male,89933
50,ID,male,41191
50,IL,male,418959
50,IN,male,206409
50,KS,male,88174
50,KY,male,140848
50,LA,male,141249
50,MA,male,229854
50,MD,male,208017
50,ME,male,44652
50,MI,male,324961
50,MN,male,179646
50,MO,male,185268
50,MS,male,87760
50,MT,male,30562
50,NC,male,323165
50,ND,male,20428
50,NE,male,53072
50,NH,male,49696
50,NJ,male,316181
50,NM,male,60881
50,NV,male,99501
50,NY,male,668617
50,OH,male,372834
50,OK,male,108954
50,OR,male,124668
50,PA,male,415025
50,RI,male,37011
50,SC,male,154332
50,SD,male,22732
50,TN,male,211748
50,TX,male,851976
50,UT,male,77977
50,VA,male,266355
50,VT,male,21518
50,WA,male,232398
50,WI,male,189876
50,WV,male,59955
50,WY,male,16696
55,AK,male,25303
55,AL,male,162223
55,AR,male,100111
55,AZ,male,205756
55,CA,male,1280353
55,CO,male,184256
55,CT,male,135724
55,DC,male,21551
55,DE,male,34232
55,FL,male,691459
55,GA,male,334179
55,HI,male,43066
55,IA,male,110163
55,ID,male,56482
55,IL,male,443350
55,IN,male,224421
55,KS,male,97537
55,KY,male,156910
55,LA,male,154107
55,MA,male,245724
55,MD,male,214576
55,ME,male,53643
55,MI,male,358099
55,MN,male,204543
55,MO,male,211301
55,MS,male,97443
55,MT,male,35612
55,NC,male,338202
55,ND,male,28847
